ticker,sentiment_score,article_count,positive_count,negative_count,last_title,last_url,updated_at_utc
VIB,0.16666666666666666,1,1,0,VIB: 30 năm từ số hóa giao dịch đến cá nhân hóa trải nghiệm ngân hàng,https://vnexpress.net/vib-30-nam-tu-so-hoa-giao-dich-den-ca-nhan-hoa-trai-nghiem-ngan-hang-5121220.html,2026-09-19T09:42:36.591076+00:00
FPT,0.1111111111111111,3,1,0,"FPT lập kỷ lục ngành CNTT Việt Nam: Hơn 1,5 tỷ USD hợp đồng mới từ nước ngoài, 3 năm liền dẫn đầu đóng góp ngân sách khối công nghệ tư nhân",https://cafef.vn/fpt-lap-ky-luc-nganh-cntt-viet-nam-hon-15-ty-usd-hop-dong-moi-tu-nuoc-ngoai-3-nam-lien-dan-dau-dong-gop-ngan-sach-khoi-cong-nghe-tu-nhan-188260917213935931.chn,2026-09-19T09:42:36.589783+00:00
SSI,0.08333333333333333,4,1,0,Chứng khoán SSI phát thông báo quan trọng,https://cafef.vn/chung-khoan-ssi-phat-thong-bao-quan-trong-188260917235958427.chn,2026-09-19T09:42:36.590648+00:00
HCM,0.0,2,0,0,"30.000 tỷ đồng cho vay bất động sản du lịch, nghỉ dưỡng tại TP HCM",https://vnexpress.net/30-000-ty-dong-cho-vay-bat-dong-san-du-lich-nghi-duong-tai-tp-hcm-5121913.html,2026-09-19T09:42:36.590149+00:00
FRT,0.0,1,0,0,FPT Retail năm thứ hai liên tiếp vào Top 50 Công ty niêm yết tốt nhất Việt Nam,https://cafef.vn/fpt-retail-nam-thu-hai-lien-tiep-vao-top-50-cong-ty-niem-yet-tot-nhat-viet-nam-18826091816180376.chn,2026-09-19T09:42:36.589975+00:00
HPG,0.0,1,0,0,"Công ty con của Hòa Phát được chuyển mục đích sử dụng gần 1,5ha đất làm dự án",https://cafef.vn/cong-ty-con-cua-hoa-phat-duoc-chuyen-muc-dich-su-dung-gan-15ha-dat-lam-du-an-188260918094528163.chn,2026-09-19T09:42:36.590351+00:00
PNJ,0.0,1,0,0,Dragon Capital đầu tư trở lại cổ phiếu PNJ,https://vnexpress.net/dragon-capital-dau-tu-tro-lai-co-phieu-pnj-5120987.html,2026-09-19T09:42:36.590505+00:00
TCB,0.0,1,0,0,Techcombank sẽ ra mắt giải pháp quản lý gia sản mới tại Việt Nam,https://vnexpress.net/techcombank-se-ra-mat-giai-phap-quan-ly-gia-san-moi-tai-viet-nam-5121793.html,2026-09-19T09:42:36.590791+00:00
VIC,0.0,1,0,0,Tỷ phú Phạm Nhật Vượng ưu đãi khủng: Chia sẻ 100% doanh thu cho tài xế trong 2 năm,https://cafef.vn/ty-phu-pham-nhat-vuong-tung-loat-uu-dai-188260919082102133.chn,2026-09-19T09:42:36.591209+00:00
VHM,-0.16666666666666666,2,0,1,Vinhomes vừa nâng hợp đồng tổng thầu lên 12 tỷ USD tại một dự án,https://cafef.vn/vinhomes-vua-nang-hop-dong-tong-thau-len-12-ty-usd-tai-mot-du-an-18826091909003301.chn,2026-09-19T09:42:36.590941+00:00
